"velocity"
"Time Step" "vx etc.."
("TimeStep" "vx(point-04-000625)" "vx(point-04-080000)" "vx(point-14-080000)" "vy(point-04-000625)" "vy(point-04-080000)" "vy(point-14-080000)" "vz(point-04-000625)" "vz(point-04-080000)" "vz(point-14-080000)" "flow-time")
48154 0.4666347 2.881601 2.207671 0.1241863 0.6971106 1.380491 -0.03684509 0.2142913 0.2971023 6019.25
48155 0.4643612 2.900481 2.163567 0.1289455 0.673963 1.37712 -0.03591578 0.1995045 0.3391304 6019.375
48156 0.4618471 2.921398 2.110079 0.1339471 0.6529691 1.371238 -0.03482809 0.1820873 0.3823069 6019.5
48157 0.4592417 2.943898 2.049201 0.1391714 0.6344765 1.363207 -0.03357566 0.1623392 0.4296345 6019.625
48158 0.4565815 2.966902 1.984599 0.1446441 0.6190916 1.353922 -0.03215582 0.1400443 0.4774191 6019.75
48159 0.4538489 2.990278 1.918707 0.1503621 0.6061782 1.345065 -0.03057055 0.1156895 0.5249459 6019.875
48160 0.4510505 3.013915 1.853599 0.1563117 0.5945552 1.337718 -0.02883784 0.08995199 0.5666726 6020
48161 0.4482761 3.037469 1.79199 0.1625031 0.5833584 1.3317 -0.02697275 0.06458798 0.6015729 6020.125
48162 0.4456031 3.06078 1.733983 0.1689647 0.5722274 1.326443 -0.02498219 0.04037669 0.6262847 6020.25
48163 0.4430891 3.083153 1.677629 0.1757451 0.560694 1.321774 -0.02289349 0.01835217 0.6390238 6020.375
48164 0.4407602 3.103904 1.626673 0.1828331 0.5480782 1.317387 -0.02071038 -0.0001497575 0.6442315 6020.5
48165 0.4386334 3.124262 1.583062 0.1901927 0.5336861 1.312176 -0.01843037 -0.01472977 0.6454394 6020.625
48166 0.4366613 3.144517 1.545433 0.1979152 0.5173758 1.304974 -0.01601286 -0.02625718 0.6418049 6020.75
48167 0.4348064 3.161255 1.513665 0.206056 0.4986717 1.295725 -0.01344777 -0.03539426 0.6321232 6020.875
48168 0.4331126 3.172977 1.490622 0.2146445 0.4783782 1.283898 -0.010723 -0.04275602 0.6175926 6021
48169 0.4317691 3.179697 1.475699 0.2235687 0.4567934 1.268565 -0.007834828 -0.04931076 0.5983281 6021.125
48170 0.430851 3.182294 1.466358 0.2327168 0.4335269 1.249241 -0.004790754 -0.05455526 0.5740908 6021.25
48171 0.4302108 3.180276 1.460786 0.2420005 0.4088705 1.226923 -0.001617127 -0.05818389 0.5487232 6021.375
48172 0.4298001 3.174449 1.457776 0.2513511 0.3834592 1.201905 0.001669482 -0.06023468 0.524337 6021.5
48173 0.4295908 3.165612 1.45653 0.2607684 0.3578633 1.175026 0.005217198 -0.06150531 0.5024159 6021.625
48174 0.4295905 3.154434 1.457774 0.2702881 0.3318899 1.146361 0.009273275 -0.06276402 0.4831748 6021.75
48175 0.4299398 3.141474 1.462386 0.2798264 0.3058053 1.116012 0.01389389 -0.06430099 0.4671556 6021.875
48176 0.4306915 3.127365 1.469792 0.2894165 0.2795675 1.083608 0.0189133 -0.06579167 0.4599166 6022
48177 0.4317787 3.112364 1.478912 0.2992478 0.2534922 1.048864 0.0239866 -0.06756005 0.4591901 6022.125
48178 0.4331597 3.096567 1.489861 0.3093635 0.2283735 1.012001 0.02897504 -0.06999186 0.4630176 6022.25
48179 0.4348373 3.080906 1.504475 0.3196585 0.204423 0.9735662 0.03393199 -0.07349183 0.4705682 6022.375
48180 0.4368685 3.06824 1.523005 0.3299361 0.1820801 0.9343956 0.03877573 -0.07776845 0.482091 6022.5
48181 0.4394403 3.058581 1.545466 0.3400226 0.1607304 0.8947617 0.04312743 -0.08198516 0.4984424 6022.625
48182 0.4424883 3.051215 1.571653 0.3497919 0.1399526 0.8550894 0.04702643 -0.08583377 0.5196676 6022.75
48183 0.4459824 3.046348 1.60079 0.3591581 0.1199072 0.8170912 0.05046352 -0.08941821 0.5451404 6022.875
48184 0.4498464 3.045687 1.632455 0.3680428 0.1005593 0.7789101 0.05350722 -0.09133738 0.5745307 6023
48185 0.4540121 3.046991 1.665552 0.3763962 0.08185908 0.7456357 0.05617182 -0.09098166 0.6073421 6023.125
48186 0.4584553 3.050624 1.701126 0.3841933 0.06208844 0.7200985 0.05853288 -0.08902556 0.6427501 6023.25
48187 0.4631545 3.056158 1.739525 0.391416 0.04304985 0.7029113 0.06061686 -0.08656204 0.6800522 6023.375
48188 0.4681875 3.063627 1.780451 0.3981101 0.02662539 0.6963484 0.06239694 -0.08378178 0.7189091 6023.5
48189 0.4736109 3.073039 1.823794 0.4042973 0.01368657 0.6983155 0.06366558 -0.08033006 0.7603996 6023.625
48190 0.4794538 3.084042 1.869308 0.4099437 0.006248988 0.7065462 0.06399026 -0.07623264 0.8010462 6023.75
48191 0.4857391 3.095564 1.918108 0.4149239 0.003236461 0.7218459 0.06343018 -0.07244395 0.8449095 6023.875
48192 0.4925907 3.106851 1.971451 0.4191264 0.003135452 0.7384778 0.06230921 -0.06916407 0.8821478 6024
48193 0.5002058 3.117123 2.029748 0.4225509 0.005793506 0.7507211 0.06076437 -0.06759973 0.9073618 6024.125
48194 0.5090913 3.126142 2.095699 0.4252384 0.01136075 0.7563513 0.05882699 -0.06792192 0.9201158 6024.25
48195 0.5188802 3.133547 2.169525 0.4273685 0.01989438 0.7557232 0.056531 -0.07007507 0.91492 6024.375
48196 0.5291575 3.139589 2.2509 0.4290395 0.03149629 0.7480245 0.05387247 -0.07433259 0.8960697 6024.5
48197 0.5394689 3.144357 2.339047 0.4303178 0.04607229 0.7330572 0.05081323 -0.08088691 0.8656833 6024.625
48198 0.5494934 3.148001 2.433676 0.4312288 0.06365584 0.7078597 0.04735256 -0.08927621 0.8254626 6024.75
